fiscal_year,source_abs,reference_year,estimate_type,expenditure_table,function_code,function_name,value_rs_million
2013-14,ABS_2013-14,2012-13,BE,current_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2012-13,RE,current_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2013-14,BE,current_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2012-13,BE,current_capital,07,Health,0.0
2013-14,ABS_2013-14,2012-13,RE,current_capital,07,Health,0.0
2013-14,ABS_2013-14,2013-14,BE,current_capital,07,Health,0.0
2013-14,ABS_2013-14,2012-13,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2012-13,RE,current_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2013-14,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2012-13,BE,current_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,RE,current_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2013-14,BE,current_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,BE,current_capital,10,Social Protection,0.0
2013-14,ABS_2013-14,2012-13,RE,current_capital,10,Social Protection,0.0
2013-14,ABS_2013-14,2013-14,BE,current_capital,10,Social Protection,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,01,General Public Services,136314.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,01,General Public Services,127335.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,01,General Public Services,210315.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,02,Defence Affairs and Services,2021.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,02,Defence Affairs and Services,478.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,02,Defence Affairs and Services,2370.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,03,Public Order and Safety Affairs,5531.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,03,Public Order and Safety Affairs,2400.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,03,Public Order and Safety Affairs,4341.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,04,Economic Affairs,49264.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,04,Economic Affairs,46741.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,04,Economic Affairs,62758.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,05,Environment Protection,135.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,05,Environment Protection,1058.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,05,Environment Protection,59.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,06,Housing and Community Amenities,2743.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,06,Housing and Community Amenities,2333.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,06,Housing and Community Amenities,3795.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,07,Health,1316.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,07,Health,3708.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,07,Health,27489.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,08,"Recreation, Culture and Religion",146.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,08,"Recreation, Culture and Religion",182.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,08,"Recreation, Culture and Religion",373.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,09,Education Affairs and Services,17377.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,09,Education Affairs and Services,17054.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,09,Education Affairs and Services,21121.0
2013-14,ABS_2013-14,2012-13,BE,dev_revenue,10,Social Protection,914.0
2013-14,ABS_2013-14,2012-13,RE,dev_revenue,10,Social Protection,614.0
2013-14,ABS_2013-14,2013-14,BE,dev_revenue,10,Social Protection,1057.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,01,General Public Services,216499.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,01,General Public Services,252375.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,01,General Public Services,277354.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,02,Defence Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,02,Defence Affairs and Services,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,02,Defence Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,03,Public Order and Safety Affairs,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,04,Economic Affairs,4510.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,04,Economic Affairs,9636.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,04,Economic Affairs,6512.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,05,Environment Protection,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,05,Environment Protection,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,05,Environment Protection,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,06,Housing and Community Amenities,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,07,Health,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,07,Health,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,07,Health,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,09,Education Affairs and Services,0.0
2013-14,ABS_2013-14,2012-13,BE,dev_capital,10,Social Protection,0.0
2013-14,ABS_2013-14,2012-13,RE,dev_capital,10,Social Protection,0.0
2013-14,ABS_2013-14,2013-14,BE,dev_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,01,General Public Services,2357401.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,01,General Public Services,2364879.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,01,General Public Services,2543334.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,02,Defence Affairs and Services,627226.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,02,Defence Affairs and Services,629752.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,02,Defence Affairs and Services,700148.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,03,Public Order and Safety Affairs,78462.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,03,Public Order and Safety Affairs,77039.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,03,Public Order and Safety Affairs,86450.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,04,Economic Affairs,52262.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,04,Economic Affairs,42988.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,04,Economic Affairs,47585.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,05,Environment Protection,924.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,05,Environment Protection,899.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,05,Environment Protection,936.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,06,Housing and Community Amenities,1912.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,06,Housing and Community Amenities,1558.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,06,Housing and Community Amenities,2012.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,07,Health,9863.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,07,Health,9437.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,07,Health,10017.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,08,"Recreation, Culture and Religion",6950.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,08,"Recreation, Culture and Religion",6633.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,08,"Recreation, Culture and Religion",7060.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,09,Education Affairs and Services,59277.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,09,Education Affairs and Services,63442.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,09,Education Affairs and Services,64014.0
2014-15,ABS_2014-15,2013-14,BE,current_revenue,10,Social Protection,1806.0
2014-15,ABS_2014-15,2013-14,RE,current_revenue,10,Social Protection,1959.0
2014-15,ABS_2014-15,2014-15,BE,current_revenue,10,Social Protection,1691.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,01,General Public Services,241384.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,01,General Public Services,205216.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,01,General Public Services,64168.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,04,Economic Affairs,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,04,Economic Affairs,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,04,Economic Affairs,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,07,Health,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,07,Health,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,07,Health,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,BE,current_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2013-14,RE,current_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2014-15,BE,current_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,01,General Public Services,210315.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,01,General Public Services,68865.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,01,General Public Services,152410.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,02,Defence Affairs and Services,2370.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,02,Defence Affairs and Services,512.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,02,Defence Affairs and Services,1136.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,03,Public Order and Safety Affairs,4341.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,03,Public Order and Safety Affairs,2875.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,03,Public Order and Safety Affairs,4057.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,04,Economic Affairs,62758.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,04,Economic Affairs,56571.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,04,Economic Affairs,47918.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,05,Environment Protection,59.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,05,Environment Protection,23.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,05,Environment Protection,25.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,06,Housing and Community Amenities,3795.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,06,Housing and Community Amenities,25633.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,06,Housing and Community Amenities,3054.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,07,Health,27489.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,07,Health,28029.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,07,Health,28141.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,08,"Recreation, Culture and Religion",373.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,08,"Recreation, Culture and Religion",361.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,08,"Recreation, Culture and Religion",487.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,09,Education Affairs and Services,21121.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,09,Education Affairs and Services,24336.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,09,Education Affairs and Services,22436.0
2014-15,ABS_2014-15,2013-14,BE,dev_revenue,10,Social Protection,1057.0
2014-15,ABS_2014-15,2013-14,RE,dev_revenue,10,Social Protection,1047.0
2014-15,ABS_2014-15,2014-15,BE,dev_revenue,10,Social Protection,1000.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,01,General Public Services,277354.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,01,General Public Services,352010.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,01,General Public Services,410087.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,02,Defence Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,04,Economic Affairs,6512.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,04,Economic Affairs,9088.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,04,Economic Affairs,5936.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,05,Environment Protection,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,06,Housing and Community Amenities,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,07,Health,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,07,Health,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,07,Health,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,09,Education Affairs and Services,0.0
2014-15,ABS_2014-15,2013-14,BE,dev_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2013-14,RE,dev_capital,10,Social Protection,0.0
2014-15,ABS_2014-15,2014-15,BE,dev_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,01,General Public Services,2543334.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,01,General Public Services,2530386.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,01,General Public Services,2446604.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,02,Defence Affairs and Services,700148.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,02,Defence Affairs and Services,720002.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,02,Defence Affairs and Services,781162.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,03,Public Order and Safety Affairs,86450.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,03,Public Order and Safety Affairs,87597.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,03,Public Order and Safety Affairs,94899.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,04,Economic Affairs,47585.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,04,Economic Affairs,55264.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,04,Economic Affairs,60195.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,05,Environment Protection,936.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,05,Environment Protection,936.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,05,Environment Protection,1055.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,06,Housing and Community Amenities,2012.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,06,Housing and Community Amenities,2012.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,06,Housing and Community Amenities,2256.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,07,Health,10017.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,07,Health,10124.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,07,Health,11010.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,08,"Recreation, Culture and Religion",7060.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,08,"Recreation, Culture and Religion",7242.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,08,"Recreation, Culture and Religion",7637.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,09,Education Affairs and Services,64014.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,09,Education Affairs and Services,64519.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,09,Education Affairs and Services,75580.0
2015-16,ABS_2015-16,2014-15,BE,current_revenue,10,Social Protection,1691.0
2015-16,ABS_2015-16,2014-15,RE,current_revenue,10,Social Protection,2709.0
2015-16,ABS_2015-16,2015-16,BE,current_revenue,10,Social Protection,1840.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,01,General Public Services,64168.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,01,General Public Services,77536.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,01,General Public Services,133035.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,04,Economic Affairs,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,04,Economic Affairs,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,04,Economic Affairs,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,07,Health,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,07,Health,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,07,Health,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,BE,current_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2014-15,RE,current_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2015-16,BE,current_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,01,General Public Services,152410.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,01,General Public Services,128606.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,01,General Public Services,252434.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,02,Defence Affairs and Services,1136.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,02,Defence Affairs and Services,2839.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,02,Defence Affairs and Services,1967.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,03,Public Order and Safety Affairs,4057.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,03,Public Order and Safety Affairs,2230.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,03,Public Order and Safety Affairs,3776.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,04,Economic Affairs,47918.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,04,Economic Affairs,51639.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,04,Economic Affairs,38230.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,05,Environment Protection,25.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,05,Environment Protection,10.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,05,Environment Protection,40.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,06,Housing and Community Amenities,3054.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,06,Housing and Community Amenities,2231.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,06,Housing and Community Amenities,2065.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,07,Health,28141.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,07,Health,29175.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,07,Health,21283.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,08,"Recreation, Culture and Religion",487.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,08,"Recreation, Culture and Religion",1009.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,08,"Recreation, Culture and Religion",734.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,09,Education Affairs and Services,22436.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,09,Education Affairs and Services,29557.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,09,Education Affairs and Services,22300.0
2015-16,ABS_2015-16,2014-15,BE,dev_revenue,10,Social Protection,1000.0
2015-16,ABS_2015-16,2014-15,RE,dev_revenue,10,Social Protection,1000.0
2015-16,ABS_2015-16,2015-16,BE,dev_revenue,10,Social Protection,1046.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,01,General Public Services,410087.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,01,General Public Services,368076.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,01,General Public Services,444821.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,02,Defence Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,03,Public Order and Safety Affairs,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,04,Economic Affairs,5936.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,04,Economic Affairs,5659.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,04,Economic Affairs,15942.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,05,Environment Protection,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,06,Housing and Community Amenities,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,07,Health,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,07,Health,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,07,Health,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,08,"Recreation, Culture and Religion",0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,09,Education Affairs and Services,0.0
2015-16,ABS_2015-16,2014-15,BE,dev_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2014-15,RE,dev_capital,10,Social Protection,0.0
2015-16,ABS_2015-16,2015-16,BE,dev_capital,10,Social Protection,0.0
2016-17,ABS_2016-17,2015-16,BE,current_revenue,01,General Public Services,2446604.0
2016-17,ABS_2016-17,2015-16,RE,current_revenue,01,General Public Services,2558881.0
2016-17,ABS_2016-17,2016-17,BE,current_revenue,01,General Public Services,2707213.0
2016-17,ABS_2016-17,2015-16,BE,current_revenue,02,Defence Affairs and Services,781162.0
2016-17,ABS_2016-17,2015-16,RE,current_revenue,02,Defence Affairs and Services,775861.0
2016-17,ABS_2016-17,2016-17,BE,current_revenue,02,Defence Affairs and Services,860169.0
